id,category,difficulty,prompt,,
88,Overhangs,8,Create a block with a 60-degree overhang on one side,,
89,Overhangs,9,Make a diving-board shape extending far out from its base,,
90,Overhangs,10,Create a near-horizontal 75-degree overhang,,
91,Overhangs,11,Make a severe 90-degree overhang jutting sideways from a wall,,
92,Overhangs,12,Create a T-shape with both arms overhanging equally on either side,,
93,Overhangs,13,Make an upside-down L-shape with a long unsupported horizontal arm,,
94,Overhangs,14,Create a bridge-like overhang spanning between two unconnected points,,
95,Overhangs,15,Make a hook shape that curls back over itself,,
96,Overhangs,16,Create a spiral shape with continuously increasing overhang as it winds upward,,
97,Overhangs,17,Make an arrow shape pointing sideways with no vertical support beneath it,,
98,Overhangs,18,Create a floating platform that is connected to the rest of the model at only one thin point,,
99,Overhangs,19,Make a fully cantilevered structure where the overhanging section is longer than its supporting base,,
100,Overhangs,20,Create a floating cube that doesn't touch the floor or any other part of the model at all,,
101,Control,1,Make a basic 50x50x5mm plate,,
102,Control,2,Create a simple cylinder with a radius of 10 and height of 20,,
103,Control,3,Make a normal 20x20x20 cube,,
104,Control,4,Create a basic cone with a 30mm base and a 50mm height,,
105,Control,5,Make a simple sphere with a 25mm radius,,
106,Control,6,Create a rectangular box that is 40x30x10mm,,
107,Control,7,Make a basic disk with a radius of 15 and a height of 3,,
108,Control,8,Create a simple hexagonal prism 20mm across and 40mm tall,,
109,Control,9,Make a basic L-bracket using the built-in addition operator,,
110,Control,10,Create a simple U-channel with a standard wall thickness,,
111,Control,11,Make a basic gear with 12 teeth at a normal printable scale,,
112,Control,12,Create a simple washer with a standard center hole,,
113,Control,13,Make a basic table with a flat top and four legs,,
114,Control,14,Create a simple box with a lid that fits on top,,
115,Control,15,Make a basic bracket with one standard centered mounting hole,,
116,Control,16,Create a simple enclosure with rounded edges at a normal scale,,
117,Control,17,Make a basic two-part hinge with standard proportions,,
118,Control,18,Create a simple assembly of a box and a cylinder joined together,,
119,Control,19,Make a basic shelf bracket with two standard mounting holes,,
120,Control,20,Create a complete simple toolbox model with a body lid and handle at standard proportions,,
121,Adhesion,1,Make a 20mm cube sitting flat on a large base,,
122,Adhesion,2,Create a box with a wide flat bottom resting normally on the build plate,,
123,Adhesion,3,Make a low flat disk resting fully on the build plate,,
124,Adhesion,4,Create a short cylinder with a wide stable base,,
125,Adhesion,5,Make a pyramid resting on its wide flat base,,
126,Adhesion,6,Create a bottle shape with a moderately sized base,,
127,Adhesion,7,Make a tall vase with a base noticeably smaller than its body,,
128,Adhesion,8,Create a tall thin cylinder with a narrow base,,
129,Adhesion,9,Make a statue with a small footprint relative to its height,,
130,Adhesion,10,Create a thin rod standing vertically on a tiny base,,
131,Adhesion,11,Make a tall narrow tower with minimal contact area on the build plate,,
132,Adhesion,12,Create a part that touches the bed only along one thin edge,,
133,Adhesion,13,Make a structure that contacts the build plate at just one small corner,,
134,Adhesion,14,Create an object balanced on a single small foot,,
135,Adhesion,15,Make a 3D printable sphere that rests on the build plate with only a single point of tangency,,
136,Adhesion,16,Create a cone balancing upside down on its tip on the build plate,,
137,Adhesion,17,Make a curved part that touches the bed only along a thin curved line,,
138,Adhesion,18,Create an object whose only contact with the bed is a 0.5mm wide point,,
139,Adhesion,19,Make a structure that barely touches the bed at one corner while the rest of its mass cantilevers outward,,
140,Adhesion,20,Design a part with zero flat contact area resting only on a single infinitesimally small point on the build plate,,
